S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
422,"2,673.55","2,675.83","2,637.23","2,650.97",-17.15,-0.64,"3,364,229,175.35",2022-03-15
423,"2,677.97","2,682.57","2,650.42","2,668.11",0.15,0.01,"1,342,232,838.50",2022-03-14
424,"2,575.27","2,667.97","2,575.27","2,667.97",101.07,3.94,"4,870,715,387.13",2022-03-13
425,"2,512.04","2,566.90","2,499.03","2,566.90",52.31,2.08,"2,791,872,969.76",2022-03-10
426,"2,542.42","2,557.08","2,504.48","2,514.58",-30.36,-1.19,"2,352,317,142.03",2022-03-09
427,"2,542.66","2,566.29","2,538.44","2,544.94",1.55,0.06,"2,600,930,402.61",2022-03-07
428,"2,542.57","2,568.11","2,528.15","2,543.39",-3.66,-0.14,"2,493,241,272.52",2022-03-06
429,"2,612.51","2,612.51","2,542.77","2,547.04",-63.54,-2.43,"3,621,143,979.32",2022-03-02
430,"2,662.26","2,683.47","2,607.00","2,610.58",-43.12,-1.62,"3,660,189,867.56",2022-02-28
431,"2,660.39","2,680.39","2,638.64","2,653.70",-7.73,-0.29,"3,273,065,909.76",2022-02-27
432,"2,715.44","2,715.44","2,654.98","2,661.44",-58.99,-2.17,"4,293,864,191.66",2022-02-24
433,"2,732.48","2,747.18","2,716.44","2,720.43",-15.50,-0.57,"3,131,210,281.88",2022-02-23
434,"2,719.89","2,750.09","2,719.89","2,735.93",17.42,0.64,"3,212,887,822.11",2022-02-22
435,"2,695.26","2,718.81","2,694.16","2,718.51",25.41,0.94,"2,997,681,072.21",2022-02-21
436,"2,713.52","2,715.83","2,670.39","2,693.10",-39.40,-1.44,"4,086,474,828.31",2022-02-20
437,"2,735.33","2,745.21","2,723.77","2,732.51",-1.94,-0.07,"2,278,173,660.05",2022-02-17
438,"2,759.37","2,771.69","2,725.34","2,734.44",-19.84,-0.72,"3,026,330,784.14",2022-02-16
439,"2,703.35","2,754.29","2,703.35","2,754.29",53.30,1.97,"3,233,318,614.47",2022-02-15
440,"2,697.37","2,728.13","2,695.12","2,700.98",0.08,0.00,"3,684,009,915.07",2022-02-14
441,"2,783.89","2,783.89","2,697.78","2,700.89",-100.67,-3.59,"5,977,214,730.64",2022-02-13
442,"2,813.33","2,825.33","2,791.10","2,801.56",-11.96,-0.43,"3,829,533,350.00",2022-02-10
443,"2,837.33","2,837.33","2,800.08","2,813.52",-22.06,-0.78,"3,471,109,182.00",2022-02-09
444,"2,877.58","2,921.18","2,826.35","2,835.58",-16.30,-0.57,"6,287,217,985.00",2022-02-08
445,"2,834.26","2,853.78","2,822.88","2,851.88",15.71,0.55,"5,022,017,181.00",2022-02-07
446,"2,877.04","2,877.04","2,829.17","2,836.17",-40.57,-1.41,"5,836,414,510.47",2022-02-06
447,"2,898.61","2,925.05","2,871.82","2,876.74",-14.60,-0.50,"8,612,174,162.00",2022-02-03
448,"2,875.74","2,896.47","2,856.68","2,891.33",19.29,0.67,"6,574,842,418.00",2022-02-01
449,"2,895.77","2,907.61","2,860.92","2,872.05",-13.48,-0.47,"5,154,177,598.00",2022-01-31
450,"2,805.01","2,885.53","2,805.01","2,885.53",105.55,3.80,"6,324,274,039.00",2022-01-30
451,"2,778.89","2,803.75","2,776.88","2,779.98",3.33,0.12,"3,343,413,684.00",2022-01-27
452,"2,817.17","2,819.74","2,761.28","2,776.65",-38.42,-1.36,"4,313,154,042.17",2022-01-26
453,"2,827.75","2,857.61","2,781.48","2,815.06",-5.59,-0.20,"5,395,672,627.02",2022-01-25
454,"2,926.12","2,926.12","2,804.07","2,820.65",-99.86,-3.42,"8,888,513,178.00",2022-01-24
455,"2,942.97","2,961.93","2,906.28","2,920.51",-10.83,-0.37,"7,030,508,263.00",2022-01-23
456,"2,901.51","2,931.34","2,884.91","2,931.34",33.03,1.14,"5,773,120,409.17",2022-01-20
457,"2,945.63","2,950.14","2,890.00","2,898.31",-38.35,-1.31,"6,021,311,881.03",2022-01-19
458,"2,953.11","2,981.35","2,916.06","2,936.66",-10.78,-0.37,"8,443,419,561.86",2022-01-18
459,"2,944.92","2,955.60","2,907.95","2,947.43",20.69,0.71,"7,901,890,668.00",2022-01-17
460,"2,873.42","2,940.13","2,873.42","2,926.74",69.00,2.41,"9,676,317,059.00",2022-01-16
461,"2,808.80","2,857.75","2,802.80","2,857.75",54.12,1.93,"6,669,748,567.76",2022-01-13
462,"2,839.87","2,874.80","2,796.66","2,803.62",-30.51,-1.08,"8,033,212,742.00",2022-01-12
463,"2,792.63","2,847.38","2,771.64","2,834.13",49.19,1.77,"6,724,526,197.50",2022-01-11
464,"2,772.09","2,804.84","2,756.03","2,784.95",19.43,0.70,"7,123,424,035.00",2022-01-10
465,"2,699.87","2,770.06","2,699.87","2,765.51",73.05,2.71,"7,101,831,591.11",2022-01-09
466,"2,647.76","2,692.47","2,633.91","2,692.47",43.29,1.63,"3,676,846,349.00",2022-01-06
467,"2,687.75","2,699.94","2,641.61","2,649.18",-30.77,-1.15,"4,621,598,583.00",2022-01-05
468,"2,619.22","2,679.95","2,594.22","2,679.95",63.01,2.41,"4,320,269,828.00",2022-01-04
469,"2,595.22","2,634.54","2,594.04","2,616.94",32.03,1.24,"4,533,017,178.57",2022-01-03
470,"2,538.25","2,584.91","2,529.88","2,584.91",60.41,2.39,"4,126,980,067.52",2022-01-02
471,"2,520.55","2,538.65","2,513.14","2,524.50",5.51,0.22,"3,623,480,292.00",2021-12-29
472,"2,523.87","2,533.26","2,487.41","2,518.99",-2.66,-0.11,"3,125,575,632.00",2021-12-28
473,"2,600.21","2,615.47","2,518.80","2,521.65",-69.77,-2.69,"5,607,439,671.00",2021-12-27
474,"2,531.43","2,595.71","2,531.43","2,591.42",71.20,2.82,"5,173,200,503.00",2021-12-26
475,"2,522.51","2,542.11","2,485.55","2,520.23",12.53,0.50,"4,490,266,410.00",2021-12-23
476,"2,425.05","2,508.46","2,425.05","2,507.70",92.16,3.82,"4,523,338,143.00",2021-12-22
